paper_id,title,abstract,summary,key_points,authors,year,domain,keywords,embedding,uploaded_by,related_paper_id,relation_type,confidence_score,evidence_text,citation_paper_id,citation_context,question,answer
P1,Research Paper 1,This paper discusses AI model 1 and its performance.,Summary of paper 1 showing insights and results.,accuracy;performance,Author1,2021,AI,AI;ML,"[0.1,0.2,0.3]",U8,P70,neutral,0.89,Evidence sentence showing relationship,P391,Citation context text,What is the result?,The model shows improved performance.
P2,Research Paper 2,This paper discusses AI model 2 and its performance.,Summary of paper 2 showing insights and results.,accuracy;performance,Author2,2024,AI,AI;ML,"[0.1,0.2,0.3]",U9,P24,neutral,0.88,Evidence sentence showing relationship,P219,Citation context text,What is the result?,The model shows improved performance.
P3,Research Paper 3,This paper discusses AI model 3 and its performance.,Summary of paper 3 showing insights and results.,accuracy;performance,Author3,2022,AI,AI;ML,"[0.1,0.2,0.3]",U4,P295,contradict,0.83,Evidence sentence showing relationship,P305,Citation context text,What is the result?,The model shows improved performance.
P4,Research Paper 4,This paper discusses AI model 4 and its performance.,Summary of paper 4 showing insights and results.,accuracy;performance,Author4,2023,AI,AI;ML,"[0.1,0.2,0.3]",U5,P486,neutral,0.97,Evidence sentence showing relationship,P256,Citation context text,What is the result?,The model shows improved performance.
P5,Research Paper 5,This paper discusses AI model 5 and its performance.,Summary of paper 5 showing insights and results.,accuracy;performance,Author5,2024,AI,AI;ML,"[0.1,0.2,0.3]",U8,P276,contradict,0.95,Evidence sentence showing relationship,P404,Citation context text,What is the result?,The model shows improved performance.
P6,Research Paper 6,This paper discusses AI model 6 and its performance.,Summary of paper 6 showing insights and results.,accuracy;performance,Author6,2020,AI,AI;ML,"[0.1,0.2,0.3]",U5,P31,support,0.91,Evidence sentence showing relationship,P28,Citation context text,What is the result?,The model shows improved performance.
P7,Research Paper 7,This paper discusses AI model 7 and its performance.,Summary of paper 7 showing insights and results.,accuracy;performance,Author7,2023,AI,AI;ML,"[0.1,0.2,0.3]",U6,P431,support,0.8,Evidence sentence showing relationship,P110,Citation context text,What is the result?,The model shows improved performance.
P8,Research Paper 8,This paper discusses AI model 8 and its performance.,Summary of paper 8 showing insights and results.,accuracy;performance,Author8,2022,AI,AI;ML,"[0.1,0.2,0.3]",U10,P297,support,0.86,Evidence sentence showing relationship,P356,Citation context text,What is the result?,The model shows improved performance.
P9,Research Paper 9,This paper discusses AI model 9 and its performance.,Summary of paper 9 showing insights and results.,accuracy;performance,Author9,2021,AI,AI;ML,"[0.1,0.2,0.3]",U10,P283,support,0.97,Evidence sentence showing relationship,P240,Citation context text,What is the result?,The model shows improved performance.
P10,Research Paper 10,This paper discusses AI model 10 and its performance.,Summary of paper 10 showing insights and results.,accuracy;performance,Author10,2024,AI,AI;ML,"[0.1,0.2,0.3]",U9,P18,contradict,0.81,Evidence sentence showing relationship,P484,Citation context text,What is the result?,The model shows improved performance.
P11,Research Paper 11,This paper discusses AI model 11 and its performance.,Summary of paper 11 showing insights and results.,accuracy;performance,Author11,2020,AI,AI;ML,"[0.1,0.2,0.3]",U3,P41,support,0.94,Evidence sentence showing relationship,P421,Citation context text,What is the result?,The model shows improved performance.
P12,Research Paper 12,This paper discusses AI model 12 and its performance.,Summary of paper 12 showing insights and results.,accuracy;performance,Author12,2022,AI,AI;ML,"[0.1,0.2,0.3]",U5,P28,neutral,0.82,Evidence sentence showing relationship,P188,Citation context text,What is the result?,The model shows improved performance.
P13,Research Paper 13,This paper discusses AI model 13 and its performance.,Summary of paper 13 showing insights and results.,accuracy;performance,Author13,2022,AI,AI;ML,"[0.1,0.2,0.3]",U7,P454,contradict,0.91,Evidence sentence showing relationship,P461,Citation context text,What is the result?,The model shows improved performance.
P14,Research Paper 14,This paper discusses AI model 14 and its performance.,Summary of paper 14 showing insights and results.,accuracy;performance,Author14,2019,AI,AI;ML,"[0.1,0.2,0.3]",U5,P92,support,0.91,Evidence sentence showing relationship,P153,Citation context text,What is the result?,The model shows improved performance.
P15,Research Paper 15,This paper discusses AI model 15 and its performance.,Summary of paper 15 showing insights and results.,accuracy;performance,Author15,2023,AI,AI;ML,"[0.1,0.2,0.3]",U5,P92,support,0.92,Evidence sentence showing relationship,P256,Citation context text,What is the result?,The model shows improved performance.
P16,Research Paper 16,This paper discusses AI model 16 and its performance.,Summary of paper 16 showing insights and results.,accuracy;performance,Author16,2020,AI,AI;ML,"[0.1,0.2,0.3]",U6,P341,neutral,0.82,Evidence sentence showing relationship,P249,Citation context text,What is the result?,The model shows improved performance.
P17,Research Paper 17,This paper discusses AI model 17 and its performance.,Summary of paper 17 showing insights and results.,accuracy;performance,Author17,2019,AI,AI;ML,"[0.1,0.2,0.3]",U7,P376,support,0.95,Evidence sentence showing relationship,P54,Citation context text,What is the result?,The model shows improved performance.
P18,Research Paper 18,This paper discusses AI model 18 and its performance.,Summary of paper 18 showing insights and results.,accuracy;performance,Author18,2019,AI,AI;ML,"[0.1,0.2,0.3]",U2,P55,neutral,0.83,Evidence sentence showing relationship,P463,Citation context text,What is the result?,The model shows improved performance.
P19,Research Paper 19,This paper discusses AI model 19 and its performance.,Summary of paper 19 showing insights and results.,accuracy;performance,Author19,2019,AI,AI;ML,"[0.1,0.2,0.3]",U2,P286,neutral,0.96,Evidence sentence showing relationship,P233,Citation context text,What is the result?,The model shows improved performance.
P20,Research Paper 20,This paper discusses AI model 20 and its performance.,Summary of paper 20 showing insights and results.,accuracy;performance,Author20,2021,AI,AI;ML,"[0.1,0.2,0.3]",U1,P470,contradict,0.87,Evidence sentence showing relationship,P12,Citation context text,What is the result?,The model shows improved performance.
P21,Research Paper 21,This paper discusses AI model 21 and its performance.,Summary of paper 21 showing insights and results.,accuracy;performance,Author21,2022,AI,AI;ML,"[0.1,0.2,0.3]",U10,P455,support,0.83,Evidence sentence showing relationship,P142,Citation context text,What is the result?,The model shows improved performance.
P22,Research Paper 22,This paper discusses AI model 22 and its performance.,Summary of paper 22 showing insights and results.,accuracy;performance,Author22,2018,AI,AI;ML,"[0.1,0.2,0.3]",U9,P11,neutral,0.9,Evidence sentence showing relationship,P256,Citation context text,What is the result?,The model shows improved performance.
P23,Research Paper 23,This paper discusses AI model 23 and its performance.,Summary of paper 23 showing insights and results.,accuracy;performance,Author23,2018,AI,AI;ML,"[0.1,0.2,0.3]",U9,P374,support,0.82,Evidence sentence showing relationship,P484,Citation context text,What is the result?,The model shows improved performance.
P24,Research Paper 24,This paper discusses AI model 24 and its performance.,Summary of paper 24 showing insights and results.,accuracy;performance,Author24,2018,AI,AI;ML,"[0.1,0.2,0.3]",U1,P460,contradict,0.97,Evidence sentence showing relationship,P110,Citation context text,What is the result?,The model shows improved performance.
P25,Research Paper 25,This paper discusses AI model 25 and its performance.,Summary of paper 25 showing insights and results.,accuracy;performance,Author25,2019,AI,AI;ML,"[0.1,0.2,0.3]",U4,P26,contradict,0.83,Evidence sentence showing relationship,P172,Citation context text,What is the result?,The model shows improved performance.
P26,Research Paper 26,This paper discusses AI model 26 and its performance.,Summary of paper 26 showing insights and results.,accuracy;performance,Author26,2023,AI,AI;ML,"[0.1,0.2,0.3]",U8,P146,contradict,0.96,Evidence sentence showing relationship,P158,Citation context text,What is the result?,The model shows improved performance.
P27,Research Paper 27,This paper discusses AI model 27 and its performance.,Summary of paper 27 showing insights and results.,accuracy;performance,Author27,2020,AI,AI;ML,"[0.1,0.2,0.3]",U3,P377,contradict,0.91,Evidence sentence showing relationship,P429,Citation context text,What is the result?,The model shows improved performance.
P28,Research Paper 28,This paper discusses AI model 28 and its performance.,Summary of paper 28 showing insights and results.,accuracy;performance,Author28,2024,AI,AI;ML,"[0.1,0.2,0.3]",U1,P471,support,0.82,Evidence sentence showing relationship,P352,Citation context text,What is the result?,The model shows improved performance.
P29,Research Paper 29,This paper discusses AI model 29 and its performance.,Summary of paper 29 showing insights and results.,accuracy;performance,Author29,2020,AI,AI;ML,"[0.1,0.2,0.3]",U7,P160,contradict,0.92,Evidence sentence showing relationship,P63,Citation context text,What is the result?,The model shows improved performance.
P30,Research Paper 30,This paper discusses AI model 30 and its performance.,Summary of paper 30 showing insights and results.,accuracy;performance,Author30,2022,AI,AI;ML,"[0.1,0.2,0.3]",U5,P341,support,0.97,Evidence sentence showing relationship,P130,Citation context text,What is the result?,The model shows improved performance.
P31,Research Paper 31,This paper discusses AI model 31 and its performance.,Summary of paper 31 showing insights and results.,accuracy;performance,Author31,2023,AI,AI;ML,"[0.1,0.2,0.3]",U2,P308,support,0.83,Evidence sentence showing relationship,P10,Citation context text,What is the result?,The model shows improved performance.
P32,Research Paper 32,This paper discusses AI model 32 and its performance.,Summary of paper 32 showing insights and results.,accuracy;performance,Author32,2018,AI,AI;ML,"[0.1,0.2,0.3]",U2,P421,contradict,0.83,Evidence sentence showing relationship,P112,Citation context text,What is the result?,The model shows improved performance.
P33,Research Paper 33,This paper discusses AI model 33 and its performance.,Summary of paper 33 showing insights and results.,accuracy;performance,Author33,2019,AI,AI;ML,"[0.1,0.2,0.3]",U2,P24,support,0.85,Evidence sentence showing relationship,P224,Citation context text,What is the result?,The model shows improved performance.
P34,Research Paper 34,This paper discusses AI model 34 and its performance.,Summary of paper 34 showing insights and results.,accuracy;performance,Author34,2023,AI,AI;ML,"[0.1,0.2,0.3]",U10,P400,contradict,0.92,Evidence sentence showing relationship,P29,Citation context text,What is the result?,The model shows improved performance.
P35,Research Paper 35,This paper discusses AI model 35 and its performance.,Summary of paper 35 showing insights and results.,accuracy;performance,Author35,2021,AI,AI;ML,"[0.1,0.2,0.3]",U3,P400,contradict,0.84,Evidence sentence showing relationship,P150,Citation context text,What is the result?,The model shows improved performance.
P36,Research Paper 36,This paper discusses AI model 36 and its performance.,Summary of paper 36 showing insights and results.,accuracy;performance,Author36,2020,AI,AI;ML,"[0.1,0.2,0.3]",U4,P412,contradict,0.87,Evidence sentence showing relationship,P131,Citation context text,What is the result?,The model shows improved performance.
P37,Research Paper 37,This paper discusses AI model 37 and its performance.,Summary of paper 37 showing insights and results.,accuracy;performance,Author37,2018,AI,AI;ML,"[0.1,0.2,0.3]",U9,P249,support,0.95,Evidence sentence showing relationship,P236,Citation context text,What is the result?,The model shows improved performance.
P38,Research Paper 38,This paper discusses AI model 38 and its performance.,Summary of paper 38 showing insights and results.,accuracy;performance,Author38,2018,AI,AI;ML,"[0.1,0.2,0.3]",U4,P304,contradict,0.87,Evidence sentence showing relationship,P146,Citation context text,What is the result?,The model shows improved performance.
P39,Research Paper 39,This paper discusses AI model 39 and its performance.,Summary of paper 39 showing insights and results.,accuracy;performance,Author39,2024,AI,AI;ML,"[0.1,0.2,0.3]",U3,P481,support,0.97,Evidence sentence showing relationship,P268,Citation context text,What is the result?,The model shows improved performance.
P40,Research Paper 40,This paper discusses AI model 40 and its performance.,Summary of paper 40 showing insights and results.,accuracy;performance,Author40,2022,AI,AI;ML,"[0.1,0.2,0.3]",U10,P160,contradict,0.89,Evidence sentence showing relationship,P107,Citation context text,What is the result?,The model shows improved performance.
P41,Research Paper 41,This paper discusses AI model 41 and its performance.,Summary of paper 41 showing insights and results.,accuracy;performance,Author41,2022,AI,AI;ML,"[0.1,0.2,0.3]",U5,P362,neutral,0.89,Evidence sentence showing relationship,P225,Citation context text,What is the result?,The model shows improved performance.
P42,Research Paper 42,This paper discusses AI model 42 and its performance.,Summary of paper 42 showing insights and results.,accuracy;performance,Author42,2018,AI,AI;ML,"[0.1,0.2,0.3]",U1,P477,contradict,0.93,Evidence sentence showing relationship,P385,Citation context text,What is the result?,The model shows improved performance.
